 473: x:-0.0354, y:2.7890, t:0.8627
 474: x:-0.1958, y:2.7489, t:0.8636
 475: x:0.3598, y:2.7468, t:0.8688
 476: x:-0.0796, y:2.7787, t:0.8755
 477: x:-0.0534, y:2.8291, t:0.8578
 478: x:0.0489, y:2.7853, t:0.8993
 479: x:-0.3912, y:2.8031, t:0.9036
 480: x:-0.0033, y:2.7747, t:0.8756
 481: x:-0.1847, y:2.8279, t:0.8642
 482: x:-1.2582, y:2.8199, t:0.9681
 483: x:-0.7595, y:3.0760, t:0.2916
 484: x:-0.4052, y:2.7474, t:0.9471
 485: x:-0.7780, y:4.7735, t:0.4467
 486: x:-0.2918, y:2.7777, t:0.8855
 487: x:-1.3297, y:1.9777, t:0.7104
 488: x:-0.0467, y:2.7445, t:0.8699
 489: x:-0.3261, y:2.7538, t:0.8480
 490: x:-1.2527, y:2.0030, t:0.6754
 491: x:-1.2822, y:2.0756, t:0.6659
 492: x:-1.2532, y:2.0526, t:0.6704
 493: x:-1.2655, y:2.2521, t:0.6272
 494: x:-1.3074, y:1.9592, t:0.6062
 495: x:-1.2749, y:2.1131, t:0.6765
 496: x:-1.3243, y:1.8354, t:0.7075
 497: x:-0.6353, y:2.7875, t:0.8317
 498: x:-1.2536, y:2.6907, t:0.9890
 499: x:-1.2568, y:2.9140, t:0.9601
 500: x:-0.2742, y:2.7720, t:0.8305
